store_id,name_data,location,star,review,pop_score,price,access,address,review_URL,collect,link_detail
27143443,焼鳥と釜めし 一起,"
              心斎橋駅 394m (四ツ橋駅 287m) / 焼き鳥・串焼・鳥料理(焼き鳥)
            ",3.21,36.0,11.59104649958796,4000.0,"
              木彫りの温かみのある空間で、釜めしや焼鳥など満喫するゆったりとしたひと時。団体様対応可
            ","
                大阪府大阪市西区新町1-8-24 FM Yotsubashi BLDG 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27143443/dtlrvwlst/,1285人,https://tabelog.com/osaka/A2701/A270201/27143443/#title-rstdata
27147899,焼鳥とシウマイ あめこっこ,"
              心斎橋駅 431m (四ツ橋駅 240m) / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、立ち飲み
            ",3.05,8.0,6.7015349608754695,3000.0,"
              【四ツ橋駅3分】4/3オープン◆こだわり抜いた焼鳥とシウマイで盛り上がる♪サク飲み・宴会◎
            ","
                大阪府大阪市西区南堀江1-1-20 日宝北堀江ビル 1F・2F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27147899/dtlrvwlst/,1361人,https://tabelog.com/osaka/A2701/A270201/27147899/#title-rstdata
27013245,心斎橋 今井屋本店," 心斎橋駅 271m / 焼き鳥・串焼・鳥料理(焼き鳥)、水炊き、居酒屋
            ",3.45,319.0,19.900707435488513,5000.0,"
              【心斎橋駅2分】個室を完備した秋田県産比内地鶏専門店。炭火焼き鳥や全国の銘酒をご堪能
            ","
                大阪府大阪市中央区東心斎橋1-17-26 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27013245/dtlrvwlst/,19368人,https://tabelog.com/osaka/A2701/A270201/27013245/#title-rstdata
27094957,大阪 もつ鍋 PLay," 心斎橋駅 181m / もつ鍋、居酒屋、焼き鳥・串焼・鳥料理(もつ焼き)
            ",3.53,165.0,18.045316892898597,4000.0,"
              心斎橋駅徒歩3分！特選和牛の生もつ＆野菜に秘伝ダシがしみた絶品もつ鍋を◎宴会ご予約受付中
            ","
                大阪府大阪市中央区心斎橋筋1-3-29 ミヤプラザ心斎橋 3F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

              
                
                  このお店は「大阪市中央区東心斎橋2-8-21」から移転しています。
                  ※移転前の情報は最新のものとは異なります。
                
                  
                    移転前の店舗情報を見る
                  
              
          ",https://tabelog.com/osaka/A2701/A270201/27094957/dtlrvwlst/,12386人,https://tabelog.com/osaka/A2701/A270201/27094957/#title-rstdata
27002628,宮崎地鶏炭火焼 車 心斎橋店," 心斎橋駅 163m / 焼き鳥・串焼・鳥料理(焼き鳥)、焼き鳥・串焼・鳥料理(鳥料理)、居酒屋
            ",3.24,210.0,17.340020352462457,4000.0,"
              ▪️ 2H飲み放題付コース「5,000円(税込)〜」最大26名フロア&完全個室ありの鳥料理店
            ","
                大阪府大阪市中央区心斎橋筋1-1-16 メリディアン心斎橋ビル　Ｂ１Ｆ

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27002628/dtlrvwlst/,7237人,https://tabelog.com/osaka/A2701/A270201/27002628/#title-rstdata
27111137,串焼き 1/8ピース  心斎橋,"
              心斎橋駅 407m (長堀橋駅 156m) / 焼き鳥・串焼・鳥料理(串焼き)、焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋
            ",3.33,116.0,15.85803920287653,3000.0,"
              十勝帯広豚丼と博多串焼とおばんざいのお店です。本物をお出ししてます。
            ","
                大阪府大阪市中央区東心斎橋1-8-27 心斎橋ハウス 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27111137/dtlrvwlst/,7887人,https://tabelog.com/osaka/A2701/A270201/27111137/#title-rstdata
27139124,鳥焼酒場 暁,"
              心斎橋駅 308m (長堀橋駅 244m) / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、鍋
            ",3.07,19.0,9.196898079810751,3000.0,"
              【心斎橋駅5分】厳選素材の鶏料理に舌鼓。合わせる日本酒や焼酎も充実！コースはご宴会等に◎
            ","
                大阪府大阪市中央区東心斎橋1-12-19 エイトビルヂング 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27139124/dtlrvwlst/,1959人,https://tabelog.com/osaka/A2701/A270201/27139124/#title-rstdata
27142815,炭火焼鳥くわどり 心斎橋店,"
              心斎橋駅 493m (長堀橋駅 133m) / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、日本酒バー
            ",3.08,12.0,7.900044020981533,3000.0,"
              【心斎橋駅4分】歓迎会等の大人数宴会に！24名～貸切可。飲み放題付コース3,500円～
            ","
                大阪府大阪市中央区東心斎橋1-3-15 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27142815/dtlrvwlst/,817人,https://tabelog.com/osaka/A2701/A270201/27142815/#title-rstdata
27125653,酒処 うまいや," 心斎橋駅 460m / 居酒屋、海鮮、焼き鳥・串焼・鳥料理(焼き鳥)
            ",3.14,25.0,10.230423129387454,4000.0,"
              ≪心斎橋駅すぐ≫ボリューミーでコスパ◎宮崎地鶏「じとっこ」と旬の鮮魚をうまい酒で！個室有
            ","
                大阪府大阪市中央区心斎橋筋2-1-10 2番館ビル 1F～2F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27125653/dtlrvwlst/,1240人,https://tabelog.com/osaka/A2701/A270201/27125653/#title-rstdata
27111769,地鶏と鶏だしおでん 鷹仁 南船場店," 心斎橋駅 306m / 居酒屋、焼き鳥・串焼・鳥料理(焼き鳥)、おでん
            ",3.08,35.0,11.037238330444819,3000.0,"
              心斎橋駅徒歩4分◇鮮度抜群朝引き！大山地鶏の焼鳥と鶏だしおでん。デート、接待、宴会◎個室有
            ","
                大阪府大阪市中央区南船場4-8-2 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27111769/dtlrvwlst/,3720人,https://tabelog.com/osaka/A2701/A270201/27111769/#title-rstdata
